source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246MjUxMjg=,Ir16|Ir|111,Ir16,Ir,111,H2O(g) + 2.5H2(g) + 1.5N2(g) + * -> 3.0H2N* + HO*,OH,bridge,2.69633392745,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MzI=,Cu16|Cu|111,Cu16,Cu,111,2.0CH4(g) + H2O(g) - 4.0H2(g) + * -> 2.0CH* + O*,O,bridge,9.35829436677,Catalysis-Hub,False
UmVhY3Rpb246MzIzMDc=,Pt16|Pt|111,Pt16,Pt,111,2.0CH4(g) + H2O(g) - 5.0H2(g) + * -> 2.0C* + O*,O,bridge,9.3781922166,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjk=,Ir16|Ir|111,Ir16,Ir,111,2.0H2O(g) - -0.0H2(g) + 0.5N2(g) + * -> H2N* + 2.0HO*,OH,bridge,1.81257375684,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MjU=,HfW15HO48|HfW15HO48|1,HfW15HO48,HfW15HO48,1,H2O(g) - 0.5H2(g) + * -> OH*,OH,A,0.48400656,Catalysis-Hub,False
UmVhY3Rpb246MzQ2NDg=,CoW15HO48|CoW15HO48|1,CoW15HO48,CoW15HO48,1,H2O(g) - H2(g) + * -> O*,O,B,4.85348819,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MzM=,Cu16|Cu|111,Cu16,Cu,111,CH4(g) + H2O(g) - 2.5H2(g) + * -> CH* + O*,O,bridge,5.07177656479,Catalysis-Hub,False
UmVhY3Rpb246MzIxMjY=,Ag16|Ag|111,Ag16,Ag,111,2.0CH4(g) + H2O(g) - 4.5H2(g) + * -> HO* + 2.0C*,OH,bridge,14.2732242304,Catalysis-Hub,False
UmVhY3Rpb246MjYzNTQ=,Rh16|Rh|111,Rh16,Rh,111,3.0H2O(g) + H2S(g) - 3.5H2(g) + * -> HS* + 3.0O*,O,ontop,7.89096738308,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MjY=,HfW15O48|HfW15O48|1,HfW15O48,HfW15O48,1,H2O(g) - 0.5H2(g) + * -> OH*,OH,B,2.08666468,Catalysis-Hub,False
UmVhY3Rpb246MjUxMzA=,Ir16|Ir|111,Ir16,Ir,111,H2O(g) + 1.5H2(g) + N2(g) + * -> 2.0H2N* + HO*,OH,bridge,0.76716312305,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MzQ=,Cu16|Cu|111,Cu16,Cu,111,CH4(g) + 3.0H2O(g) - 4.5H2(g) + * -> CH* + 3.0O*,O,ontop,15.0710577828,Catalysis-Hub,False
